,y
33512,0
39355,1
32099,0
14761,0
16569,0
31192,0
38036,1
25300,0
13554,0
2934,0
38508,1
14553,1
22719,0
25853,1
31702,1
6046,0
5799,0
19238,1
16753,0
4005,0
37100,1
17034,1
30301,1
6445,0
28381,1
32985,0
24396,0
33752,1
21999,0
7983,1
40227,1
34426,0
16428,0
13438,1
37611,0
9654,0
3602,0
7550,1
34454,1
12490,0
39296,0
22808,0
12824,0
36909,1
40495,1
36616,1
13760,0
27832,1
569,0
36850,1
34270,0
33318,1
20258,1
19281,1
18121,0
8062,1
29699,0
35413,0
34064,0
12983,1
872,0
34328,1
1446,0
5303,0
35511,0
10676,1
38351,1
7296,0
20410,0
31033,0
28486,1
37008,1
24449,0
36823,1
19199,1
30185,1
36831,1
41124,1
40813,1
41010,1
3866,0
36789,1
22847,0
34903,1
2697,1
6757,0
5400,0
36747,1
121,0
24470,0
23126,0
30172,1
38862,1
11258,0
18912,1
31336,0
19338,0
32638,1
30872,1
16011,0
37675,1
27506,0
12197,0
40212,1
17934,1
38002,1
35469,0
24119,1
5547,0
21540,0
5170,0
10856,0
22998,1
40618,0
32596,0
16262,0
27767,1
11317,1
19584,0
16954,0
9235,0
7011,0
34675,1
38744,1
38373,0
34822,0
39167,1
1227,0
4034,1
2055,0
24811,0
19182,0
5652,1
38770,1
34122,0
37566,1
37848,0
20779,1
26061,0
10363,0
6768,0
38898,1
36301,1
26642,0
39251,1
29844,0
5577,0
34136,1
35630,1
36574,0
28625,1
3661,1
22060,1
18755,0
4787,0
24867,0
15541,0
13269,1
19666,0
27772,1
25031,0
19327,0
20413,1
39088,1
16909,0
15211,1
15081,0
18458,0
30081,1
6859,0
35203,0
27943,1
27866,1
20211,1
7358,0
13281,1
37573,1
40685,1
1265,0
17643,0
8315,1
30162,0
26933,1
37103,1
37818,1
8919,0
745,0
40401,1
14008,0
19372,1
4653,0
40553,1
20381,1
26477,0
14788,1
34088,1
27707,1
21486,0
23808,0
30399,1
10506,0
31010,0
40875,1
40573,1
810,0
31503,1
32834,0
27855,1
12795,0
24130,0
15456,1
11518,0
27790,1
25529,1
9514,0
30001,1
18271,0
12904,1
1352,0
40482,1
38077,1
27295,0
20848,0
27698,1
13403,0
28431,1
23031,0
31891,0
37125,1
22111,0
30585,1
36350,1
38884,1
3542,0
11330,0
6201,0
9275,0
8287,0
30326,1
30048,1
39510,1
2644,0
25975,0
34730,1
22924,0
23417,0
493,0
40391,1
35941,1
32863,1
22468,0
24085,1
13134,1
37582,1
37046,1
37278,0
17244,1
26244,1
38897,1
32931,0
8117,0
34425,1
29985,1
40220,1
38074,1
28314,0
37706,1
5396,0
36404,1
38177,0
39444,1
2132,0
27951,0
39501,1
26067,0
4375,0
24031,1
26692,1
9149,1
22495,0
15379,0
35182,1
26822,0
8263,0
25465,0
36742,1
37027,1
34091,0
22569,0
29676,1
38694,1
32134,1
41049,1
36796,1
34887,1
17806,0
23080,0
28873,1
30450,1
3944,0
13673,0
5162,1
7613,1
38838,1
29329,1
36463,1
23179,0
11641,0
20579,1
40151,1
39642,1
32615,0
39992,1
29101,0
19950,1
1786,0
12163,0
27408,1
39658,1
37128,1
38456,1
38082,1
34094,1
40455,0
4739,0
41004,1
37604,1
11940,0
35942,0
12707,1
8909,0
28843,0
38621,1
40670,1
13175,0
30063,1
23691,0
36173,0
12502,0
19998,1
41033,1
157,0
25587,0
39759,0
38240,1
28392,0
25370,0
31779,0
34670,1
28743,1
40251,1
27734,1
37602,1
34988,0
39972,1
387,0
27178,1
19016,0
34702,0
28878,1
11185,0
38008,1
22791,0
27615,0
24014,1
5804,0
40559,1
39218,1
11416,0
27731,1
41141,1
33866,0
36504,1
2794,0
38844,1
40954,1
2838,0
24103,1
13600,0
2463,0
9239,1
3837,0
30174,1
5281,0
25519,1
9104,0
27924,0
36626,1
28519,1
35626,0
9215,1
19399,0
30329,1
35464,0
26523,1
6113,0
27732,1
28839,1
11490,0
32722,0
9157,1
29739,1
34182,0
38558,1
29981,1
39462,1
16722,1
21655,1
39998,1
3381,1
41097,0
30141,1
34301,1
36062,1
36614,1
16883,0
30292,1
13916,0
37650,1
6897,0
39626,1
39047,0
29913,1
35145,0
27981,0
15586,1
26622,1
37180,0
14728,0
15774,0
22252,0
38590,1
14741,0
17918,1
26652,0
39240,1
41050,1
23367,0
38603,1
32279,0
28017,1
37207,1
37366,0
39441,1
12228,0
23502,0
6990,0
10916,1
26965,0
41100,1
14259,0
28418,1
40787,1
41127,1
37421,1
22615,0
6608,0
22065,0
27854,0
20460,0
25697,0
38337,1
38447,1
39660,1
32891,0
16585,0
22338,1
21111,0
35825,1
25716,0
30544,1
21033,0
11172,1
22269,1
40056,1
28884,0
7933,1
16516,0
28068,1
16018,1
26336,1
30496,1
39453,1
31011,1
18383,0
24038,1
27953,1
30180,1
27416,0
4433,0
39740,1
5383,0
39219,1
17055,1
28805,1
20634,0
21107,0
35524,0
27596,0
9505,0
21147,1
40656,1
39001,0
29510,1
38509,1
35956,1
29937,0
8550,0
19899,0
33507,1
35066,0
37728,0
13505,0
18045,0
17693,0
27967,0
35933,1
17751,0
38041,0
38415,1
16627,1
10421,0
30291,1
17650,0
21803,0
40057,1
26127,0
41027,1
27374,0
37171,1
34607,1
16549,0
83,1
30210,1
40617,1
36347,1
31783,0
36371,1
39835,1
40485,1
37813,1
30220,1
29689,0
20716,0
22412,0
37011,1
40481,1
40036,1
40824,1
39911,1
8025,0
20032,0
34344,0
36693,1
25736,0
1264,0
34868,0
27925,1
41078,1
2433,0
8631,0
27896,1
4575,0
10049,1
39262,1
21950,1
39820,1
39647,0
39941,1
40718,1
40747,1
5780,1
14805,1
6477,0
21560,0
37388,1
7097,0
38282,1
40298,1
18553,1
32733,0
37314,0
18595,0
12142,0
39003,1
30215,1
37414,1
9544,0
10297,1
38582,1
9087,0
41067,0
41088,1
21067,1
11752,1
5856,0
8511,0
12467,1
38930,1
18490,0
8417,1
39623,1
34790,0
9522,0
36738,1
31451,0
36225,1
7032,0
3193,0
31332,1
6817,0
16852,0
13387,0
28123,1
29030,0
14042,0
16354,0
38013,0
28167,1
13011,1
35260,1
37550,1
30189,1
21727,0
12695,0
29824,1
40493,1
39443,1
37555,1
12573,0
13542,1
1670,0
20331,0
27766,1
21211,0
19991,0
12404,0
40820,1
40247,1
14137,1
31102,1
29965,0
4732,0
29595,0
39046,1
18116,1
4851,1
13111,0
38096,1
38421,1
6520,1
39487,1
40460,1
4220,0
33077,0
36804,1
39764,1
30020,1
38069,1
7877,0
13305,0
23159,0
17088,1
16506,0
9302,0
36790,1
28297,1
40475,1
36256,1
39197,1
15695,0
21941,0
35999,1
40332,0
10583,0
13685,1
14592,1
38497,0
40645,1
13,0
7913,0
40028,1
30183,1
1788,0
38333,0
40819,1
18148,0
39691,1
1763,1
14535,0
37223,1
30017,1
6266,0
32018,0
12032,0
31516,0
38347,1
25481,0
40234,1
31904,0
38995,0
36535,0
1819,1
38422,1
3697,1
16621,1
30025,1
35683,0
27458,0
25239,1
37803,1
15317,1
10001,0
8798,0
40746,1
22973,0
7163,0
3677,1
33368,0
20722,1
12479,0
9923,0
40867,1
36278,1
36036,0
36876,0
10428,0
1501,1
41165,1
3264,1
14456,0
37040,1
22993,0
643,0
15410,1
32031,1
7284,0
12329,0
6695,1
38759,1
15771,1
36847,1
38012,1
28741,1
37473,1
21738,0
4781,0
40558,1
38653,1
6737,0
39149,1
14588,0
3939,1
13986,1
35741,0
38386,1
28270,1
39707,1
32258,1
36330,1
23383,0
4614,0
21809,0
36479,1
39548,0
834,0
14397,0
39052,1
18147,1
17878,0
39806,1
16026,0
40544,1
6329,0
35663,1
12023,1
36334,1
28803,0
20206,0
37166,0
8777,0
35896,1
26660,0
26995,0
25698,0
27103,1
40312,1
24061,1
13457,1
8202,0
39579,1
37624,1
32394,0
5626,0
14684,1
27763,1
15593,0
38430,1
25453,0
19967,1
36707,1
25319,0
35819,1
11263,0
29316,0
24958,0
3988,1
21863,0
33294,1
29651,1
34986,0
32730,1
5183,0
38486,1
12235,0
40344,0
40729,1
7164,0
39890,1
12815,0
40741,1
36375,1
24251,0
25146,0
15663,1
40196,1
19359,0
39392,1
35490,0
30695,0
15353,1
23488,0
32217,0
32525,0
37230,1
6038,0
5113,0
35740,0
40715,1
27612,0
19152,1
30364,0
32066,0
28641,1
38396,1
36765,1
13983,1
10402,1
40478,1
40402,1
1279,0
12932,1
29401,1
27292,0
40188,1
33328,0
1384,0
21307,1
5077,0
20707,1
27211,0
3395,1
1430,0
9743,0
18032,0
38270,1
13749,1
4069,0
26047,1
24047,1
37290,1
2821,0
38028,0
36352,1
13148,0
7176,0
15489,1
30277,1
1915,0
31153,0
39601,1
39438,1
30941,1
19248,1
35437,0
14482,1
25230,0
36129,1
2521,0
28574,1
34936,0
38529,1
27829,0
27704,1
36517,1
9856,0
19789,0
35669,0
38491,1
32474,0
38889,1
9835,0
38393,1
469,1
14104,0
28320,0
14117,0
9588,0
40563,1
39030,1
24102,1
11138,0
38367,0
8413,0
6213,1
26303,0
37021,1
36297,1
29051,1
25947,0
34165,1
41025,1
12354,0
38107,1
18854,0
1115,0
28633,1
33367,0
27154,1
38762,0
21285,0
39206,1
36491,1
20404,0
32843,1
27465,1
20100,0
18101,0
36461,1
23886,0
38323,1
34326,0
27745,0
36719,0
35592,0
14810,0
2049,0
4487,0
22368,0
8667,0
30200,1
30118,1
41034,1
36720,1
37603,1
35827,0
27421,0
36584,1
6501,0
14496,0
36721,1
19155,0
11020,1
27852,1
40465,1
18730,0
18339,0
38110,1
38259,1
5898,0
31193,0
7789,0
2555,0
25724,1
26060,1
18981,0
39230,1
4353,1
38671,0
39745,1
18285,0
30628,0
37334,0
40362,1
22957,0
39213,1
29967,1
9555,0
11335,0
37656,0
21645,1
27697,1
31598,0
9516,0
39225,1
18485,1
2421,1
35913,1
4491,0
34120,0
35278,0
8135,1
40564,1
15498,1
8935,0
2329,0
18145,0
31650,0
20813,0
17018,0
880,0
19018,1
20047,0
40083,1
8058,0
34901,1
4408,0
31754,1
14544,0
40942,1
36990,0
40654,0
6083,0
9822,0
3047,1
31258,1
3800,0
4982,1
8394,0
39105,1
14974,0
41174,1
24080,1
10291,0
30152,0
19222,1
37716,1
21783,1
22754,0
33718,1
30724,0
25286,0
27823,1
40866,1
27811,1
2378,0
31885,1
28544,1
33468,1
6784,0
11266,0
4281,0
31436,1
15067,0
30247,1
10441,0
22757,0
15812,0
40638,1
9141,0
39418,1
22128,0
16912,0
39598,1
12755,0
5764,0
20017,0
19759,0
26884,1
33147,0
38515,1
36358,0
31241,1
6655,0
30098,0
37368,1
38643,1
35013,1
40783,1
20715,1
10504,0
37152,1
28254,0
29073,0
16655,1
37310,1
16349,1
13786,0
28336,0
19205,1
7952,1
36980,1
40686,1
39259,1
33692,0
5731,1
17394,0
29970,1
2681,0
8757,0
33612,0
19745,0
25877,0
30330,1
40421,1
9937,0
6678,1
17074,1
39864,1
30311,1
10878,0
37757,1
25962,1
21997,0
40109,1
26071,0
39344,1
39537,1
36611,1
35126,1
36986,1
39110,1
39176,0
1481,0
17991,0
39479,1
20741,0
39138,1
4665,0
23745,0
37997,1
26721,0
37355,1
31673,0
36902,0
30638,1
14528,0
30297,1
3552,0
30132,1
27730,1
40933,1
40801,1
22192,1
32982,0
10418,1
5613,1
38693,1
2905,1
29988,1
37952,1
15452,1
26794,0
36663,1
30134,1
27258,0
12971,1
30548,0
9256,1
30443,0
19103,0
23419,0
37009,1
30316,1
29076,1
38075,1
26615,0
29402,0
23737,0
27483,0
17904,0
20685,0
38510,0
15394,1
1608,1
5904,0
31207,0
14378,0
494,0
40101,1
37801,1
31353,0
6163,0
4741,0
12565,1
8804,1
11937,1
25257,0
23723,0
34487,0
12280,0
36825,1
39488,1
33544,0
21043,1
37972,1
7681,0
16165,1
4921,0
40233,0
40301,1
40032,0
38128,0
16628,0
39337,1
39494,1
4513,0
24429,0
35658,1
39287,1
40616,1
12443,0
10798,0
32032,1
15591,0
23384,0
34065,1
36849,1
37057,0
9065,0
7116,0
36428,1
32083,0
3069,0
6498,0
28114,1
19747,0
10118,0
19245,1
701,0
1946,0
9904,1
12526,1
14640,0
24062,1
8187,0
22872,0
34230,0
5885,0
18090,0
39538,1
5143,0
8114,0
38173,1
39220,1
17944,1
30323,1
17509,1
6149,0
37067,0
30164,0
30283,1
37798,1
39370,1
36945,1
28596,0
31182,1
5870,0
3427,1
15585,0
4974,0
20995,1
36777,1
27903,0
6982,1
3572,0
1445,0
3564,1
26676,1
31902,0
14069,1
39526,1
26337,0
14114,0
33037,0
39328,1
27531,0
4635,1
39503,1
28538,1
1568,0
39892,1
16683,1
37686,1
29371,1
35873,1
20892,0
10613,0
38597,1
19568,0
39530,1
37708,1
29449,0
39419,1
39867,1
9504,0
36756,0
1646,0
2742,0
30270,1
25539,0
38581,0
38840,1
39739,1
28604,1
25948,0
15776,1
37957,1
36656,1
41038,1
31880,0
39661,1
36934,1
33433,1
15238,0
17420,0
37730,1
2543,0
24220,0
832,1
22424,0
28341,0
34523,1
37367,1
40619,1
17126,0
10585,0
14153,1
40781,1
36033,1
35417,0
36233,1
35155,1
35115,1
39741,1
20609,0
39132,1
35395,1
37211,0
2178,0
5312,0
27838,0
14892,1
39185,1
40469,1
40601,1
31829,1
40261,1
38234,1
3073,0
21011,1
17418,1
27802,1
38936,0
32577,0
15938,1
30096,1
18787,1
40201,1
37649,1
23095,0
1164,0
29362,0
14048,0
39615,1
25027,0
5359,0
26406,0
39500,1
40023,1
38550,1
28449,1
30284,1
35414,0
6762,1
24477,0
20593,0
11412,0
32862,1
14919,1
21429,0
15292,0
27619,0
1361,0
40241,1
36700,0
7719,1
37922,1
21378,0
32348,1
8246,1
23743,0
9308,0
24024,1
933,0
18870,0
5107,1
39547,1
41140,1
40419,1
10134,1
14271,0
26877,1
21497,0
5978,1
35187,1
31310,0
36353,1
29969,1
6932,0
29928,0
36807,1
18386,1
39348,1
40596,1
35586,1
40278,1
23741,0
36976,1
36834,0
3716,0
36710,0
34223,0
39223,1
7852,0
39574,1
4057,0
29050,0
28132,1
2713,1
38841,0
37772,0
8747,0
23428,0
10830,0
24341,0
8148,0
40683,1
22507,0
19826,1
35082,1
3453,1
24545,0
36735,1
12584,0
39637,1
15346,1
15416,0
7646,0
19284,0
556,1
29585,0
28589,1
2473,1
28239,0
11590,0
39098,1
24888,1
15741,0
20296,1
17181,1
37272,1
18382,0
23246,0
26569,0
30734,1
18388,0
1375,0
25143,0
2447,0
38796,1
23334,0
36971,1
38723,1
327,0
29468,0
18430,0
15247,1
39733,1
2199,0
35731,0
11100,1
38436,1
10171,1
27306,0
27787,1
33848,0
39960,1
38821,1
8977,1
39932,0
21151,0
12210,0
36034,1
14695,1
12029,1
39163,1
2666,0
26775,1
16635,1
22321,0
41042,1
35497,1
39699,1
23267,1
31142,0
13231,1
24696,0
10124,1
18499,0
36753,1
34224,0
30050,1
20705,1
2285,0
40097,1
30663,0
41032,1
39950,1
20086,0
39221,1
15368,1
40426,1
25842,0
28614,1
28993,0
38828,1
33579,0
10524,0
39053,0
10606,0
24057,1
1121,0
14849,1
19719,0
11532,1
38756,1
41092,1
16884,1
30434,1
40687,0
40651,1
703,0
39552,1
34681,0
11567,1
30019,1
4871,0
32495,1
39837,1
5967,0
19034,0
38024,1
27626,0
39452,1
32578,0
27822,1
2594,0
5857,0
256,0
12214,0
2631,0
6503,0
11861,0
39554,1
39681,1
36809,1
37292,1
21555,0
25767,0
16682,0
18764,0
3174,1
11636,0
1244,0
39734,1
2406,1
10353,1
40155,1
19662,0
1771,0
16112,0
29324,0
38114,1
21556,0
40156,1
30214,0
40556,1
29210,1
35722,1
37645,1
14879,1
17070,1
9566,0
22292,0
35680,0
36981,1
12331,0
27180,0
30176,1
3806,0
37565,1
39153,1
40891,1
28537,0
30803,0
6621,0
132,0
18317,1
31053,1
38026,1
2451,0
38221,1
33451,0
28712,0
15298,0
30568,1
31410,0
37762,1
26188,0
13137,1
10116,0
202,0
38121,0
24378,0
6551,0
28508,1
622,0
25451,0
33217,1
3541,1
39905,1
21789,0
24301,0
30254,0
5675,0
3813,0
24068,1
29172,1
34411,0
15710,1
38457,1
18209,0
18030,0
39463,1
27725,1
26014,0
13543,0
30627,1
16588,1
36872,0
40060,1
16738,0
38656,1
28845,0
26556,0
39440,1
39277,1
28528,0
12066,0
19735,0
16756,0
39750,0
11348,1
34774,0
194,0
29537,0
10456,1
10958,0
20773,1
4167,1
13751,0
40779,1
30158,1
25952,1
5242,0
12564,0
18797,0
37544,1
17805,0
23255,0
40217,0
29735,1
40868,1
38249,1
34597,0
29736,0
27346,0
6728,0
38152,0
15842,0
11936,1
29771,1
40543,1
38571,1
30377,1
4899,1
22045,1
36547,1
27868,1
39334,1
15824,0
40731,1
40347,1
30843,1
37664,1
10603,0
10577,0
9016,0
14995,0
36843,1
19060,1
28488,1
38993,1
856,1
18448,0
4704,0
36894,1
16148,0
13734,1
30418,1
41125,1
37571,1
13189,1
25931,1
6387,0
31599,0
24035,1
20699,0
21677,0
23319,0
30467,1
16704,1
28375,0
4981,0
6004,0
16336,0
13759,0
30417,1
30487,1
35341,0
39065,1
6079,0
34707,0
6605,1
9841,1
24568,0
31705,1
17455,0
9101,1
26908,0
39026,1
30372,1
27430,1
26902,0
20171,1
38562,1
28204,1
39959,1
3485,0
1497,0
38246,1
13583,0
36151,1
37155,1
16057,0
19000,1
38178,1
3438,0
28957,0
16987,0
15644,0
24962,0
15320,0
33218,0
33688,0
40839,1
20887,0
36300,1
35882,1
40714,1
10062,0
29685,0
20967,1
38106,1
1613,1
22423,1
2415,0
38685,1
36130,0
34275,1
39165,0
20320,1
27232,0
28629,1
23722,0
22478,0
33969,0
17543,0
11051,0
37251,1
27063,0
17247,0
4165,0
37498,1
7397,1
10379,0
24056,1
35952,0
38974,1
37448,0
36619,1
33891,0
37951,0
29099,0
36988,1
21737,0
8519,0
13375,0
27784,1
38690,1
35924,1
3445,0
33884,1
22753,0
36676,1
21879,1
31089,1
40688,1
5154,0
17748,0
40962,0
33215,1
39683,1
12315,0
18171,1
26093,0
26535,0
9991,0
17216,1
14529,1
40119,1
25960,1
21170,0
38755,1
7356,0
32482,0
38340,1
4880,1
6346,0
27161,1
33967,0
19488,0
38461,1
7047,0
3217,0
38440,1
12387,1
20664,1
39181,1
35160,1
23076,0
34284,1
25314,1
38726,1
40356,1
32095,0
15816,0
7087,0
38767,1
38448,1
36602,1
39964,1
30702,0
36111,1
36822,1
37287,1
12989,0
12144,0
40085,1
8718,0
7275,0
33236,1
5108,0
35912,1
34992,0
21765,0
41173,1
36329,1
27994,1
23381,0
20761,0
9887,0
13674,0
4766,0
35212,0
38427,1
16889,0
39119,1
13737,1
4742,0
20447,0
27923,1
14309,0
30120,1
31522,0
15497,0
37681,1
6280,1
1684,0
7861,0
36336,1
6217,0
35985,1
17377,1
685,0
1940,0
3566,1
37705,0
15984,0
21912,1
40266,1
39442,0
7599,0
33830,0
40259,1
820,1
17324,0
26566,0
1962,0
35297,0
36487,1
30515,0
35217,0
12798,0
10535,0
19449,1
17291,1
2454,0
29433,0
30437,1
38483,1
14576,1
39236,0
40244,1
21426,0
30021,1
15444,0
6610,0
1010,0
28506,1
17359,1
36219,0
24050,1
1270,0
35380,1
11935,0
3805,0
32959,0
37886,0
28223,1
11626,0
28182,1
3860,0
40223,1
28056,0
25285,0
8799,0
30494,0
3601,0
38774,1
38155,1
41186,1
13223,1
4524,0
676,0
38442,1
21149,0
20539,1
36939,1
12133,1
25269,0
22448,0
30065,1
15917,0
23577,1
4752,1
29795,1
17449,1
33481,1
39697,1
33552,0
21220,0
9416,0
38070,1
27894,0
12458,1
38274,1
37220,1
13131,1
12312,0
7419,1
4886,0
23243,0
14381,0
16603,1
5217,0
25938,0
2645,1
14209,0
9724,0
7009,1
15815,0
20483,1
22355,1
38439,1
6492,0
16698,0
29293,0
8018,0
30383,1
40154,1
40639,1
18288,1
39315,1
9325,0
15325,0
4091,0
29128,0
37104,0
36652,1
29421,1
37146,1
28578,1
27892,1
24694,1
723,0
23073,0
13385,0
9963,0
38136,1
32634,0
39551,1
12627,0
19659,0
24469,1
19617,0
13459,0
39104,1
34673,0
38773,1
37743,1
2219,0
35008,1
38554,1
32639,1
40366,1
40373,1
11588,0
40364,1
12049,0
41116,1
37012,1
9353,0
37805,1
25840,0
39009,1
1980,0
13640,0
12134,0
36985,1
34131,0
20621,1
38709,1
40594,1
33019,0
10996,0
37091,1
40104,1
30150,0
9081,0
10666,0
39828,1
39767,1
2511,0
39728,1
27955,1
32752,0
27765,1
1717,0
4046,0
32029,1
38268,0
21365,0
3183,1
31158,0
40699,1
15895,1
10239,1
36666,1
39305,1
39281,1
11255,1
14465,1
38823,1
34383,1
37575,1
40487,1
12207,0
21988,0
29649,1
7991,0
32659,0
25113,0
363,0
27757,0
8205,0
15782,1
38635,1
40258,1
11663,0
29520,1
8216,0
12305,0
31606,0
36892,0
22097,0
39863,1
18194,0
28598,1
41079,0
4152,1
38718,1
40851,1
15184,0
39852,1
30253,1
15345,1
27878,1
12623,0
21327,0
34973,0
8732,0
29470,0
36268,1
27076,0
13107,0
10080,0
10470,0
13479,0
36424,1
6894,0
36812,0
37522,1
35813,1
39389,1
27748,1
27321,1
40955,1
13841,0
24784,0
41172,1
39879,1
32583,0
30108,0
10254,1
21169,0
2975,0
36010,1
36414,0
36548,1
38896,1
40441,1
9123,0
2763,1
36856,1
24446,0
36108,0
14003,0
1281,0
40145,1
40664,1
19900,0
35322,0
30337,1
40513,1
3284,0
35797,0
22452,1
19973,0
5829,0
37989,1
41003,1
9700,0
14624,0
7949,0
35502,0
40411,1
39307,0
39535,1
22169,0
7475,1
13771,0
25385,1
39087,0
24066,0
41018,1
38566,1
18733,0
29836,0
19176,1
29228,1
30262,0
30105,1
36769,1
40359,1
37683,1
36140,1
9932,0
21063,0
31139,1
38331,1
2102,0
18744,0
16545,0
328,0
1549,0
23139,0
37385,1
12879,0
40265,1
5115,0
33853,0
7135,1
1063,0
1314,0
37360,1
38914,1
32897,0
29972,1
1159,0
27689,1
13101,0
10685,1
5118,0
29229,0
20505,0
130,0
9814,0
36088,1
35998,0
7427,0
10042,0
25994,1
40752,1
30684,0
33280,0
17762,1
3507,0
16970,0
25053,0
39424,1
13871,0
30887,1
17219,1
21119,0
39147,1
12185,0
39531,1
38060,1
26179,0
37704,1
8442,0
11817,0
39944,0
17861,1
38705,1
24352,0
3839,0
37784,0
37591,0
1546,0
36996,0
12123,0
7278,0
14252,0
38095,1
15190,1
36038,1
32278,1
16402,0
7727,1
28520,1
37362,1
24879,0
31613,0
33229,1
31077,0
31652,1
34501,0
39312,1
6629,1
5503,0
19180,0
9866,0
8233,1
27058,0
9315,0
10385,0
40205,0
36160,1
2257,1
27354,0
34410,1
25532,0
19361,0
37019,1
38894,1
36583,1
30845,0
33780,1
38891,0
39454,1
36292,1
39791,1
35584,0
37763,1
39086,1
36467,1
34256,0
8897,1
12122,0
41085,1
37496,0
15781,0
7456,0
37056,1
5351,0
16348,0
27895,1
5247,0
30963,0
39891,1
39407,1
8130,1
31871,0
4748,0
38056,0
24059,1
9705,1
4162,0
31246,1
35247,1
7645,0
7365,0
10788,0
498,0
32993,0
36828,0
14424,1
40240,1
40691,1
29980,1
18200,0
612,0
30139,1
24766,0
22030,0
1862,0
38649,1
39255,1
33723,0
5015,0
27874,1
38689,1
31806,1
10597,0
18753,0
39207,0
27739,0
24268,0
29906,0
40443,1
39398,1
34196,1
33030,0
34624,0
10342,0
11534,0
33568,0
28337,1
24778,1
18230,0
2881,0
