,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
31842,43,management,single,university.degree,no,yes,no,telephone,may,thu,140,2,999,0,-1.8,92.893,-46.2,1.327,5099.1,0
39629,38,entrepreneur,married,professional.course,no,yes,no,cellular,may,mon,583,6,2,4,-1.8,93.876,-40.0,0.682,5008.7,1
36355,49,admin.,divorced,university.degree,no,yes,no,cellular,jun,tue,144,1,999,0,-2.9,92.963,-40.8,1.262,5076.2,0
29349,26,technician,single,professional.course,no,yes,no,telephone,apr,fri,100,2,999,0,-1.8,93.075,-47.1,1.405,5099.1,0
40902,24,admin.,single,high.school,no,yes,no,cellular,oct,fri,133,2,999,1,-1.1,94.601,-49.5,0.972,4963.6,0
8059,40,admin.,single,high.school,no,yes,no,telephone,jun,mon,136,4,999,0,1.4,94.465,-41.8,4.865,5228.1,0
26404,49,technician,married,university.degree,no,yes,no,cellular,nov,thu,91,1,999,0,-0.1,93.2,-42.0,4.076,5195.8,0
13131,31,services,married,basic.9y,no,yes,no,cellular,jul,wed,537,1,999,0,1.4,93.918,-42.7,4.962,5228.1,1
38175,71,retired,married,basic.4y,no,yes,no,cellular,oct,thu,137,1,999,1,-3.4,92.431,-26.9,0.754,5017.5,1
22927,57,blue-collar,married,basic.9y,no,yes,no,cellular,aug,mon,365,4,999,0,1.4,93.444,-36.1,4.965,5228.1,0
27299,34,admin.,married,university.degree,no,no,no,cellular,nov,fri,124,3,999,0,-0.1,93.2,-42.0,4.021,5195.8,0
2473,36,admin.,married,high.school,no,no,no,telephone,may,tue,753,6,999,0,1.1,93.994,-36.4,4.856,5191.0,1
27056,30,admin.,single,high.school,no,yes,no,cellular,nov,fri,337,1,999,0,-0.1,93.2,-42.0,4.021,5195.8,0
13585,26,technician,married,professional.course,no,yes,no,cellular,jul,thu,804,1,999,0,1.4,93.918,-42.7,4.963,5228.1,1
38452,98,retired,married,basic.4y,unknown,yes,no,cellular,oct,fri,476,1,2,2,-3.4,92.431,-26.9,0.73,5017.5,1
16128,39,technician,married,professional.course,no,no,no,cellular,jul,tue,62,1,999,0,1.4,93.918,-42.7,4.961,5228.1,0
29347,22,student,single,high.school,no,yes,no,cellular,apr,fri,14,3,999,0,-1.8,93.075,-47.1,1.405,5099.1,0
17557,48,self-employed,married,high.school,unknown,yes,yes,cellular,jul,mon,88,3,999,0,1.4,93.918,-42.7,4.962,5228.1,0
5147,51,admin.,divorced,unknown,no,unknown,unknown,telephone,may,fri,152,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
40291,80,retired,divorced,basic.4y,no,no,yes,cellular,jul,thu,169,2,6,2,-1.7,94.215,-40.3,0.899,4991.6,1
16506,40,entrepreneur,married,university.degree,no,no,no,cellular,jul,wed,639,1,999,0,1.4,93.918,-42.7,4.963,5228.1,0
36975,32,self-employed,single,university.degree,no,no,no,cellular,jul,thu,276,2,999,0,-2.9,92.469,-33.6,1.072,5076.2,1
34906,22,technician,single,university.degree,no,no,no,cellular,may,fri,382,1,999,0,-1.8,92.893,-46.2,1.25,5099.1,1
18216,35,admin.,single,high.school,no,no,no,cellular,jul,wed,86,3,999,0,1.4,93.918,-42.7,4.963,5228.1,0
5258,38,services,married,high.school,no,no,yes,telephone,may,fri,268,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
18701,25,admin.,single,basic.9y,no,yes,no,cellular,jul,thu,115,4,999,0,1.4,93.918,-42.7,4.968,5228.1,0
21879,57,housemaid,married,basic.4y,no,no,no,cellular,aug,wed,1044,1,999,0,1.4,93.444,-36.1,4.964,5228.1,1
23126,56,services,married,high.school,no,yes,no,cellular,aug,tue,43,1,999,0,1.4,93.444,-36.1,4.965,5228.1,0
26273,34,technician,married,high.school,no,no,no,cellular,nov,thu,732,1,999,0,-0.1,93.2,-42.0,4.076,5195.8,1
6517,34,admin.,single,high.school,no,no,yes,telephone,may,wed,195,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
32702,31,services,single,high.school,no,no,yes,cellular,may,mon,369,2,999,1,-1.8,92.893,-46.2,1.299,5099.1,0
16436,32,technician,single,high.school,no,yes,no,cellular,jul,wed,229,1,999,0,1.4,93.918,-42.7,4.963,5228.1,0
37229,24,student,single,high.school,no,yes,no,cellular,aug,fri,456,1,999,0,-2.9,92.201,-31.4,0.881,5076.2,1
8314,57,technician,divorced,unknown,no,yes,yes,telephone,jun,tue,237,2,999,0,1.4,94.465,-41.8,4.864,5228.1,0
6292,47,blue-collar,married,basic.4y,unknown,unknown,unknown,telephone,may,tue,66,2,999,0,1.1,93.994,-36.4,4.857,5191.0,0
3841,44,self-employed,single,basic.6y,unknown,yes,no,telephone,may,fri,248,2,999,0,1.1,93.994,-36.4,4.859,5191.0,0
10363,28,student,single,high.school,unknown,yes,no,telephone,jun,mon,131,2,999,0,1.4,94.465,-41.8,4.96,5228.1,0
30635,56,services,divorced,high.school,no,no,no,telephone,may,mon,640,7,999,0,-1.8,92.893,-46.2,1.354,5099.1,1
6621,35,technician,married,university.degree,unknown,no,no,telephone,may,wed,266,2,999,0,1.1,93.994,-36.4,4.857,5191.0,0
39675,33,technician,married,professional.course,no,yes,no,cellular,may,fri,700,4,3,4,-1.8,93.876,-40.0,0.684,5008.7,1
38462,34,admin.,married,university.degree,no,no,no,cellular,oct,fri,281,1,999,2,-3.4,92.431,-26.9,0.73,5017.5,1
36391,32,admin.,married,university.degree,no,no,no,cellular,jun,tue,74,1,4,1,-2.9,92.963,-40.8,1.262,5076.2,1
3685,37,blue-collar,single,basic.9y,unknown,no,no,telephone,may,fri,1230,3,999,0,1.1,93.994,-36.4,4.859,5191.0,1
5660,56,retired,married,high.school,no,yes,no,telephone,may,mon,167,3,999,0,1.1,93.994,-36.4,4.857,5191.0,0
32520,36,admin.,married,university.degree,no,no,yes,telephone,may,fri,267,3,999,0,-1.8,92.893,-46.2,1.313,5099.1,0
32752,28,blue-collar,married,basic.4y,no,no,no,cellular,may,mon,87,2,999,0,-1.8,92.893,-46.2,1.299,5099.1,0
37473,39,admin.,married,high.school,no,no,no,cellular,aug,thu,315,2,4,1,-2.9,92.201,-31.4,0.873,5076.2,1
40985,47,admin.,single,university.degree,no,no,no,cellular,oct,mon,767,3,999,0,-1.1,94.601,-49.5,1.0,4963.6,1
3624,30,blue-collar,single,basic.4y,unknown,unknown,unknown,telephone,may,fri,140,1,999,0,1.1,93.994,-36.4,4.859,5191.0,0
7949,36,admin.,married,university.degree,no,yes,no,telephone,jun,mon,149,8,999,0,1.4,94.465,-41.8,4.865,5228.1,0
16560,30,blue-collar,married,basic.6y,no,no,yes,cellular,jul,wed,1152,2,999,0,1.4,93.918,-42.7,4.963,5228.1,1
38565,48,technician,married,high.school,no,yes,no,cellular,oct,thu,215,2,999,0,-3.4,92.431,-26.9,0.722,5017.5,1
2482,47,management,married,basic.4y,unknown,yes,no,telephone,may,tue,805,2,999,0,1.1,93.994,-36.4,4.856,5191.0,0
11915,33,blue-collar,married,basic.9y,no,no,no,telephone,jun,fri,8,13,999,0,1.4,94.465,-41.8,4.959,5228.1,0
428,50,unknown,married,unknown,unknown,yes,no,telephone,may,tue,185,3,999,0,1.1,93.994,-36.4,4.857,5191.0,0
22742,42,technician,divorced,university.degree,no,yes,no,cellular,aug,mon,57,2,999,0,1.4,93.444,-36.1,4.965,5228.1,0
3377,47,blue-collar,married,unknown,unknown,yes,no,telephone,may,thu,461,1,999,0,1.1,93.994,-36.4,4.86,5191.0,0
25975,46,self-employed,divorced,basic.9y,no,yes,no,cellular,nov,wed,77,1,999,0,-0.1,93.2,-42.0,4.12,5195.8,0
17904,59,housemaid,divorced,university.degree,no,yes,no,cellular,jul,tue,226,1,999,0,1.4,93.918,-42.7,4.961,5228.1,0
6531,34,blue-collar,married,basic.9y,no,yes,yes,telephone,may,wed,1479,4,999,0,1.1,93.994,-36.4,4.857,5191.0,1
40426,24,admin.,single,university.degree,no,no,no,cellular,aug,fri,744,1,999,2,-1.7,94.027,-38.3,0.905,4991.6,1
41057,30,management,married,university.degree,no,no,yes,cellular,oct,wed,255,1,6,1,-1.1,94.601,-49.5,1.043,4963.6,1
38961,54,unemployed,married,high.school,no,yes,no,cellular,dec,wed,346,1,999,0,-3.0,92.713,-33.0,0.721,5023.5,1
39333,27,admin.,single,unknown,no,no,no,cellular,mar,mon,291,1,999,3,-1.8,93.369,-34.8,0.639,5008.7,1
20524,32,technician,single,professional.course,no,yes,no,cellular,aug,tue,473,3,999,0,1.4,93.444,-36.1,4.966,5228.1,1
7881,39,services,single,high.school,unknown,yes,yes,telephone,jun,mon,563,1,999,0,1.4,94.465,-41.8,4.865,5228.1,1
36442,47,management,married,basic.9y,no,no,no,cellular,jun,tue,132,4,999,0,-2.9,92.963,-40.8,1.262,5076.2,0
39495,77,retired,married,high.school,no,yes,no,cellular,apr,thu,165,7,999,0,-1.8,93.749,-34.6,0.644,5008.7,1
35544,33,admin.,single,professional.course,no,yes,no,cellular,may,mon,1340,1,999,0,-1.8,92.893,-46.2,1.244,5099.1,1
11016,31,blue-collar,married,basic.9y,no,yes,no,telephone,jun,wed,704,4,999,0,1.4,94.465,-41.8,4.962,5228.1,1
24075,45,unknown,married,unknown,no,no,no,telephone,nov,wed,169,1,999,0,-0.1,93.2,-42.0,4.663,5195.8,1
13137,35,self-employed,single,university.degree,no,yes,no,cellular,jul,wed,2122,1,999,0,1.4,93.918,-42.7,4.962,5228.1,1
40349,28,admin.,single,university.degree,no,yes,yes,cellular,aug,tue,187,2,6,2,-1.7,94.027,-38.3,0.899,4991.6,1
20380,47,technician,married,professional.course,no,yes,no,cellular,aug,tue,256,1,999,0,1.4,93.444,-36.1,4.966,5228.1,0
38257,30,management,married,university.degree,no,no,no,cellular,oct,tue,411,2,999,0,-3.4,92.431,-26.9,0.742,5017.5,1
1462,55,admin.,divorced,university.degree,no,yes,no,telephone,may,thu,230,4,999,0,1.1,93.994,-36.4,4.855,5191.0,0
22536,53,blue-collar,married,basic.9y,no,yes,no,cellular,aug,fri,565,1,999,0,1.4,93.444,-36.1,4.964,5228.1,1
19378,48,blue-collar,married,unknown,no,yes,yes,cellular,aug,wed,742,1,999,0,1.4,93.444,-36.1,4.967,5228.1,1
40244,42,unknown,single,university.degree,no,yes,no,cellular,jul,fri,513,1,999,2,-1.7,94.215,-40.3,0.885,4991.6,1
31880,37,management,married,university.degree,unknown,no,yes,cellular,may,thu,195,1,999,0,-1.8,92.893,-46.2,1.327,5099.1,0
16738,47,technician,divorced,high.school,no,no,no,cellular,jul,thu,202,3,999,0,1.4,93.918,-42.7,4.962,5228.1,0
40113,29,admin.,married,university.degree,no,yes,yes,cellular,jul,tue,256,2,6,1,-1.7,94.215,-40.3,0.835,4991.6,0
38881,40,technician,single,university.degree,no,no,no,cellular,nov,mon,105,2,3,1,-3.4,92.649,-30.1,0.714,5017.5,1
39583,19,student,single,basic.9y,no,yes,no,cellular,may,tue,203,1,999,3,-1.8,93.876,-40.0,0.668,5008.7,0
11523,56,technician,married,unknown,no,yes,no,telephone,jun,fri,471,2,999,0,1.4,94.465,-41.8,4.959,5228.1,0
14512,37,blue-collar,married,basic.6y,unknown,no,no,cellular,jul,tue,65,3,999,0,1.4,93.918,-42.7,4.961,5228.1,0
24329,47,management,married,basic.9y,no,no,no,cellular,nov,mon,97,1,999,0,-0.1,93.2,-42.0,4.191,5195.8,0
27767,34,technician,single,professional.course,no,no,no,cellular,mar,fri,301,3,999,0,-1.8,92.843,-50.0,1.726,5099.1,1
35984,36,self-employed,married,university.degree,no,yes,no,cellular,may,mon,414,2,999,1,-1.8,92.893,-46.2,1.264,5099.1,1
12044,34,admin.,married,university.degree,no,no,no,telephone,jun,fri,198,2,999,0,1.4,94.465,-41.8,4.947,5228.1,0
39544,29,services,single,unknown,no,yes,no,cellular,apr,thu,226,2,999,0,-1.8,93.749,-34.6,0.659,5008.7,1
39198,43,self-employed,married,university.degree,no,yes,no,cellular,mar,mon,264,2,9,1,-1.8,93.369,-34.8,0.652,5008.7,1
38082,24,admin.,single,university.degree,no,no,no,cellular,sep,tue,106,1,3,1,-3.4,92.379,-29.8,0.77,5017.5,1
40027,27,services,single,high.school,no,unknown,unknown,cellular,jul,fri,179,1,999,1,-1.7,94.215,-40.3,0.79,4991.6,1
25161,35,technician,married,professional.course,no,no,no,cellular,nov,tue,98,3,999,0,-0.1,93.2,-42.0,4.153,5195.8,0
22420,33,admin.,married,university.degree,no,yes,no,cellular,aug,fri,576,1,999,0,1.4,93.444,-36.1,4.964,5228.1,1
13101,45,technician,married,professional.course,no,yes,no,cellular,jul,wed,95,1,999,0,1.4,93.918,-42.7,4.962,5228.1,0
30230,35,technician,married,professional.course,no,no,no,cellular,apr,thu,337,2,5,1,-1.8,93.075,-47.1,1.365,5099.1,1
3090,35,housemaid,married,basic.4y,no,no,no,telephone,may,thu,646,3,999,0,1.1,93.994,-36.4,4.86,5191.0,1
36983,29,admin.,single,high.school,no,no,no,cellular,jul,fri,446,1,999,0,-2.9,92.469,-33.6,1.059,5076.2,1
33477,43,blue-collar,married,basic.4y,no,no,no,cellular,may,tue,609,1,999,0,-1.8,92.893,-46.2,1.291,5099.1,1
40317,40,management,married,university.degree,no,yes,no,cellular,jul,fri,955,1,9,1,-1.7,94.215,-40.3,0.896,4991.6,1
37726,28,technician,single,professional.course,no,yes,no,cellular,aug,thu,63,2,3,1,-2.9,92.201,-31.4,0.851,5076.2,1
7011,45,unknown,married,unknown,unknown,yes,no,telephone,may,thu,56,2,999,0,1.1,93.994,-36.4,4.86,5191.0,0
12388,48,admin.,married,university.degree,no,yes,no,cellular,jul,mon,99,2,999,0,1.4,93.918,-42.7,4.96,5228.1,0
37076,33,technician,single,university.degree,no,yes,no,cellular,jul,thu,359,2,999,0,-2.9,92.469,-33.6,1.018,5076.2,0
31410,40,housemaid,divorced,high.school,no,yes,no,cellular,may,wed,136,3,999,1,-1.8,92.893,-46.2,1.334,5099.1,0
23662,30,admin.,married,university.degree,no,no,no,cellular,aug,thu,45,17,999,0,1.4,93.444,-36.1,4.962,5228.1,0
40126,35,technician,single,professional.course,no,yes,no,cellular,jul,tue,337,1,6,1,-1.7,94.215,-40.3,0.835,4991.6,1
2294,51,unemployed,married,basic.9y,unknown,no,no,telephone,may,tue,1386,1,999,0,1.1,93.994,-36.4,4.856,5191.0,0
37875,30,student,married,university.degree,no,yes,no,cellular,aug,mon,186,3,3,1,-2.9,92.201,-31.4,0.821,5076.2,1
30744,34,blue-collar,married,high.school,no,yes,no,cellular,may,tue,863,1,3,2,-1.8,92.893,-46.2,1.344,5099.1,1
34903,35,blue-collar,divorced,basic.9y,no,no,no,cellular,may,fri,409,1,999,1,-1.8,92.893,-46.2,1.25,5099.1,1
22414,40,admin.,single,professional.course,unknown,yes,no,cellular,aug,fri,95,1,999,0,1.4,93.444,-36.1,4.964,5228.1,0
19359,37,management,married,university.degree,unknown,no,no,cellular,aug,wed,168,2,999,0,1.4,93.444,-36.1,4.967,5228.1,0
28381,33,technician,single,university.degree,no,no,no,cellular,apr,thu,657,1,999,0,-1.8,93.075,-47.1,1.435,5099.1,1
767,44,self-employed,married,university.degree,unknown,no,no,telephone,may,wed,202,2,999,0,1.1,93.994,-36.4,4.856,5191.0,0
39830,33,admin.,single,university.degree,no,no,no,cellular,jun,wed,206,1,3,1,-1.7,94.055,-39.8,0.715,4991.6,1
40674,27,technician,single,university.degree,no,yes,no,cellular,sep,thu,404,1,6,1,-1.1,94.199,-37.5,0.879,4963.6,1
36602,30,admin.,single,university.degree,no,no,no,cellular,jun,thu,323,1,999,0,-2.9,92.963,-40.8,1.26,5076.2,1
39220,34,admin.,single,university.degree,no,yes,no,cellular,mar,tue,568,1,6,3,-1.8,93.369,-34.8,0.652,5008.7,1
35566,29,admin.,single,university.degree,unknown,no,no,cellular,may,mon,226,1,999,0,-1.8,92.893,-46.2,1.244,5099.1,0
9325,41,blue-collar,married,basic.9y,unknown,no,no,telephone,jun,fri,204,3,999,0,1.4,94.465,-41.8,4.967,5228.1,0
35548,38,technician,single,professional.course,no,no,no,cellular,may,mon,170,2,999,1,-1.8,92.893,-46.2,1.244,5099.1,0
29676,56,housemaid,married,basic.4y,no,yes,no,cellular,apr,mon,325,1,999,0,-1.8,93.075,-47.1,1.405,5099.1,1
40766,34,technician,single,university.degree,no,yes,no,cellular,sep,fri,294,4,10,3,-1.1,94.199,-37.5,0.879,4963.6,1
13494,51,unemployed,married,professional.course,unknown,yes,yes,cellular,jul,thu,901,1,999,0,1.4,93.918,-42.7,4.963,5228.1,1
27955,32,admin.,married,university.degree,no,yes,no,cellular,mar,mon,517,1,999,0,-1.8,92.843,-50.0,1.52,5099.1,1
11534,34,blue-collar,married,basic.9y,no,yes,no,telephone,jun,fri,232,2,999,0,1.4,94.465,-41.8,4.959,5228.1,0
39915,36,blue-collar,single,high.school,no,no,no,cellular,jun,wed,339,1,6,1,-1.7,94.055,-39.8,0.739,4991.6,1
28928,59,admin.,divorced,university.degree,no,yes,no,cellular,apr,fri,416,1,999,1,-1.8,93.075,-47.1,1.405,5099.1,0
11313,42,technician,married,basic.6y,no,no,no,telephone,jun,thu,399,1,999,0,1.4,94.465,-41.8,4.961,5228.1,0
37939,59,management,married,university.degree,no,yes,no,cellular,sep,fri,328,2,3,1,-3.4,92.379,-29.8,0.803,5017.5,1
36946,24,self-employed,single,unknown,no,no,yes,cellular,jul,thu,342,2,999,0,-2.9,92.469,-33.6,1.072,5076.2,1
18045,39,services,divorced,high.school,no,no,no,cellular,jul,wed,160,1,999,0,1.4,93.918,-42.7,4.963,5228.1,0
1434,40,services,single,professional.course,no,no,no,telephone,may,thu,202,2,999,0,1.1,93.994,-36.4,4.855,5191.0,0
11158,53,admin.,single,high.school,no,no,no,telephone,jun,thu,446,1,999,0,1.4,94.465,-41.8,4.961,5228.1,0
22513,49,unemployed,married,high.school,unknown,yes,no,cellular,aug,fri,109,1,999,0,1.4,93.444,-36.1,4.964,5228.1,0
3274,45,unknown,married,unknown,no,no,yes,telephone,may,thu,160,1,999,0,1.1,93.994,-36.4,4.86,5191.0,0
10685,52,blue-collar,divorced,high.school,no,no,no,telephone,jun,tue,676,2,999,0,1.4,94.465,-41.8,4.961,5228.1,1
39411,82,housemaid,divorced,basic.4y,no,unknown,unknown,cellular,apr,tue,139,6,999,0,-1.8,93.749,-34.6,0.638,5008.7,1
30229,31,technician,married,professional.course,no,yes,no,cellular,apr,thu,160,1,999,0,-1.8,93.075,-47.1,1.365,5099.1,0
7122,41,housemaid,married,university.degree,no,no,no,telephone,may,thu,665,1,999,0,1.1,93.994,-36.4,4.86,5191.0,0
30505,43,admin.,single,university.degree,no,yes,no,telephone,may,mon,34,6,999,0,-1.8,92.893,-46.2,1.354,5099.1,0
27596,31,technician,married,professional.course,no,yes,no,cellular,nov,fri,95,2,999,0,-0.1,93.2,-42.0,4.021,5195.8,0
39217,42,blue-collar,married,basic.6y,no,yes,yes,cellular,mar,tue,185,1,7,3,-1.8,93.369,-34.8,0.652,5008.7,1
11266,39,admin.,single,high.school,no,no,no,telephone,jun,thu,290,1,999,0,1.4,94.465,-41.8,4.961,5228.1,0
