,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed
3164,46,admin.,single,high.school,no,unknown,unknown,telephone,may,thu,257,1,999,0,1.1,93.994,-36.4,4.86,5191.0
40106,28,blue-collar,single,high.school,no,no,no,cellular,jul,mon,194,3,999,0,-1.7,94.215,-40.3,0.827,4991.6
40883,65,retired,married,basic.4y,no,yes,no,telephone,oct,thu,138,4,999,0,-1.1,94.601,-49.5,0.965,4963.6
32797,32,technician,single,professional.course,no,yes,yes,cellular,may,mon,214,3,999,1,-1.8,92.893,-46.2,1.299,5099.1
23280,41,technician,married,professional.course,no,yes,no,cellular,aug,wed,84,2,999,0,1.4,93.444,-36.1,4.964,5228.1
34751,39,admin.,single,high.school,no,no,no,cellular,may,thu,387,10,999,0,-1.8,92.893,-46.2,1.266,5099.1
11105,42,blue-collar,married,basic.6y,unknown,yes,no,telephone,jun,thu,108,4,999,0,1.4,94.465,-41.8,4.961,5228.1
26601,48,technician,divorced,professional.course,no,yes,no,cellular,nov,thu,89,1,999,1,-0.1,93.2,-42.0,4.076,5195.8
3242,48,entrepreneur,married,basic.4y,no,no,no,telephone,may,thu,348,1,999,0,1.1,93.994,-36.4,4.86,5191.0
26049,30,admin.,married,high.school,no,yes,no,cellular,nov,wed,193,2,999,0,-0.1,93.2,-42.0,4.12,5195.8
1029,49,technician,married,high.school,no,yes,no,telephone,may,wed,418,2,999,0,1.1,93.994,-36.4,4.856,5191.0
29776,48,services,divorced,high.school,no,yes,no,cellular,apr,mon,436,1,999,0,-1.8,93.075,-47.1,1.405,5099.1
19831,50,blue-collar,married,basic.4y,unknown,yes,no,cellular,aug,fri,80,1,999,0,1.4,93.444,-36.1,4.966,5228.1
16204,28,admin.,married,high.school,no,unknown,unknown,cellular,jul,tue,502,3,999,0,1.4,93.918,-42.7,4.961,5228.1
17991,56,technician,married,basic.4y,unknown,yes,yes,cellular,jul,wed,138,6,999,0,1.4,93.918,-42.7,4.963,5228.1
9737,38,management,married,basic.6y,unknown,yes,no,telephone,jun,mon,166,3,999,0,1.4,94.465,-41.8,4.961,5228.1
28914,28,student,married,university.degree,unknown,yes,no,telephone,apr,fri,98,1,999,0,-1.8,93.075,-47.1,1.405,5099.1
40605,34,technician,married,professional.course,no,yes,yes,cellular,sep,fri,120,1,6,3,-1.1,94.199,-37.5,0.883,4963.6
18312,27,self-employed,married,university.degree,no,no,no,telephone,jul,wed,215,3,999,0,1.4,93.918,-42.7,4.963,5228.1
19918,35,admin.,single,university.degree,no,no,yes,telephone,aug,fri,91,1,999,0,1.4,93.444,-36.1,4.966,5228.1
30076,50,admin.,married,university.degree,no,yes,no,cellular,apr,fri,160,1,999,0,-1.8,93.075,-47.1,1.4,5099.1
25754,47,management,married,basic.9y,no,no,no,cellular,nov,wed,169,1,999,0,-0.1,93.2,-42.0,4.12,5195.8
7360,30,admin.,married,university.degree,no,yes,no,telephone,may,fri,242,3,999,0,1.1,93.994,-36.4,4.864,5191.0
7449,52,blue-collar,single,unknown,unknown,no,no,telephone,may,fri,67,2,999,0,1.1,93.994,-36.4,4.864,5191.0
33368,28,management,single,university.degree,no,yes,no,cellular,may,tue,245,1,999,0,-1.8,92.893,-46.2,1.291,5099.1
11205,34,admin.,single,high.school,no,yes,no,telephone,jun,thu,191,3,999,0,1.4,94.465,-41.8,4.961,5228.1
1919,34,admin.,single,high.school,no,no,no,telephone,may,fri,176,2,999,0,1.1,93.994,-36.4,4.855,5191.0
20752,44,blue-collar,married,basic.4y,unknown,yes,yes,cellular,aug,wed,310,1,999,0,1.4,93.444,-36.1,4.965,5228.1
23804,49,technician,married,high.school,unknown,no,no,cellular,aug,fri,114,2,999,0,1.4,93.444,-36.1,4.963,5228.1
27211,34,technician,divorced,university.degree,no,yes,no,cellular,nov,fri,526,1,999,0,-0.1,93.2,-42.0,4.021,5195.8
2009,39,blue-collar,married,basic.6y,unknown,yes,no,telephone,may,mon,399,3,999,0,1.1,93.994,-36.4,4.857,5191.0
40619,43,entrepreneur,married,university.degree,no,no,no,cellular,sep,mon,255,1,3,1,-1.1,94.199,-37.5,0.882,4963.6
40904,55,admin.,married,high.school,no,no,no,telephone,oct,mon,317,2,10,3,-1.1,94.601,-49.5,0.977,4963.6
38605,37,admin.,divorced,high.school,no,no,no,cellular,nov,mon,131,2,999,0,-3.4,92.649,-30.1,0.722,5017.5
30368,49,management,married,university.degree,no,yes,no,cellular,apr,thu,240,1,999,1,-1.8,93.075,-47.1,1.365,5099.1
18342,28,admin.,single,university.degree,no,yes,no,cellular,jul,thu,13,10,999,0,1.4,93.918,-42.7,4.968,5228.1
18362,46,technician,divorced,professional.course,no,yes,no,cellular,jul,thu,165,3,999,0,1.4,93.918,-42.7,4.968,5228.1
9160,34,technician,married,professional.course,no,no,no,telephone,jun,fri,1994,2,999,0,1.4,94.465,-41.8,4.967,5228.1
2169,31,admin.,married,high.school,no,no,no,telephone,may,mon,220,3,999,0,1.1,93.994,-36.4,4.857,5191.0
1118,53,blue-collar,married,basic.9y,unknown,yes,no,telephone,may,wed,489,2,999,0,1.1,93.994,-36.4,4.856,5191.0
5130,42,blue-collar,divorced,basic.4y,no,no,yes,telephone,may,fri,57,1,999,0,1.1,93.994,-36.4,4.857,5191.0
35593,44,unemployed,divorced,basic.6y,no,no,no,cellular,may,mon,208,1,999,0,-1.8,92.893,-46.2,1.244,5099.1
20581,32,technician,married,professional.course,unknown,yes,no,cellular,aug,tue,796,4,999,0,1.4,93.444,-36.1,4.966,5228.1
26123,55,technician,married,high.school,unknown,yes,no,cellular,nov,wed,285,2,999,0,-0.1,93.2,-42.0,4.12,5195.8
19457,32,technician,single,university.degree,no,no,no,cellular,aug,thu,64,1,999,0,1.4,93.444,-36.1,4.968,5228.1
18127,44,technician,single,university.degree,no,yes,no,telephone,jul,wed,185,2,999,0,1.4,93.918,-42.7,4.963,5228.1
4725,33,management,married,basic.9y,no,yes,no,telephone,may,wed,192,1,999,0,1.1,93.994,-36.4,4.858,5191.0
24445,42,admin.,single,high.school,no,yes,no,cellular,nov,mon,124,1,999,1,-0.1,93.2,-42.0,4.191,5195.8
13747,29,entrepreneur,married,professional.course,no,yes,no,cellular,jul,thu,125,1,999,0,1.4,93.918,-42.7,4.963,5228.1
6604,31,services,single,high.school,unknown,yes,no,telephone,may,wed,317,1,999,0,1.1,93.994,-36.4,4.857,5191.0
22941,55,management,married,university.degree,no,no,no,cellular,aug,mon,106,6,999,0,1.4,93.444,-36.1,4.965,5228.1
10918,54,blue-collar,divorced,basic.4y,unknown,no,yes,telephone,jun,wed,138,1,999,0,1.4,94.465,-41.8,4.962,5228.1
12920,34,blue-collar,married,basic.9y,no,no,yes,cellular,jul,tue,215,2,999,0,1.4,93.918,-42.7,4.962,5228.1
21790,53,management,married,university.degree,no,no,no,cellular,aug,wed,50,2,999,0,1.4,93.444,-36.1,4.964,5228.1
21551,32,technician,married,university.degree,no,no,no,cellular,aug,tue,224,1,999,0,1.4,93.444,-36.1,4.963,5228.1
13728,32,admin.,married,university.degree,no,no,no,telephone,jul,thu,136,1,999,0,1.4,93.918,-42.7,4.963,5228.1
26417,29,self-employed,divorced,university.degree,no,unknown,unknown,cellular,nov,thu,173,2,999,0,-0.1,93.2,-42.0,4.076,5195.8
22239,46,self-employed,married,university.degree,no,yes,no,cellular,aug,thu,140,3,999,0,1.4,93.444,-36.1,4.963,5228.1
40299,48,blue-collar,married,professional.course,no,no,no,telephone,jul,thu,268,1,999,0,-1.7,94.215,-40.3,0.899,4991.6
24008,35,entrepreneur,married,university.degree,no,yes,yes,telephone,oct,mon,2429,1,999,0,-0.1,93.798,-40.4,5.0,5195.8
14979,52,technician,married,professional.course,no,yes,no,telephone,jul,thu,293,20,999,0,1.4,93.918,-42.7,4.958,5228.1
15970,43,admin.,married,high.school,no,yes,no,cellular,jul,mon,24,28,999,0,1.4,93.918,-42.7,4.96,5228.1
4916,27,blue-collar,married,basic.9y,unknown,no,no,telephone,may,wed,151,2,999,0,1.1,93.994,-36.4,4.858,5191.0
34311,23,admin.,single,high.school,no,yes,no,cellular,may,thu,638,1,6,1,-1.8,92.893,-46.2,1.266,5099.1
29829,69,retired,divorced,basic.4y,no,no,no,cellular,apr,mon,92,1,999,0,-1.8,93.075,-47.1,1.405,5099.1
18614,39,management,divorced,basic.9y,unknown,yes,no,cellular,jul,thu,86,1,999,0,1.4,93.918,-42.7,4.968,5228.1
6167,52,blue-collar,married,basic.9y,no,yes,no,telephone,may,tue,319,1,999,0,1.1,93.994,-36.4,4.857,5191.0
14792,55,management,married,basic.9y,no,yes,no,cellular,jul,wed,90,1,999,0,1.4,93.918,-42.7,4.957,5228.1
9481,48,blue-collar,married,basic.4y,unknown,no,no,telephone,jun,mon,349,2,999,0,1.4,94.465,-41.8,4.961,5228.1
7278,54,blue-collar,married,university.degree,no,no,yes,telephone,may,thu,106,4,999,0,1.1,93.994,-36.4,4.86,5191.0
24022,27,student,single,high.school,no,no,no,telephone,oct,tue,187,1,999,0,-0.1,93.798,-40.4,4.968,5195.8
17423,47,housemaid,married,basic.4y,unknown,no,no,cellular,jul,mon,78,1,999,0,1.4,93.918,-42.7,4.962,5228.1
25586,33,admin.,single,high.school,no,no,no,cellular,nov,wed,578,1,999,0,-0.1,93.2,-42.0,4.12,5195.8
382,34,management,single,university.degree,no,no,no,telephone,may,tue,290,1,999,0,1.1,93.994,-36.4,4.857,5191.0
38420,42,blue-collar,married,professional.course,no,no,no,cellular,oct,wed,287,1,999,0,-3.4,92.431,-26.9,0.735,5017.5
10176,49,blue-collar,married,basic.4y,unknown,no,no,telephone,jun,thu,67,3,999,0,1.4,94.465,-41.8,4.958,5228.1
17864,38,unemployed,married,basic.4y,unknown,no,no,cellular,jul,tue,195,1,999,0,1.4,93.918,-42.7,4.961,5228.1
2120,50,management,divorced,professional.course,no,no,no,telephone,may,mon,39,3,999,0,1.1,93.994,-36.4,4.857,5191.0
11880,33,admin.,single,high.school,no,yes,yes,telephone,jun,fri,15,26,999,0,1.4,94.465,-41.8,4.959,5228.1
36512,29,admin.,single,university.degree,no,no,no,cellular,jun,wed,174,1,999,0,-2.9,92.963,-40.8,1.26,5076.2
11643,59,retired,married,professional.course,unknown,yes,no,telephone,jun,fri,435,4,999,0,1.4,94.465,-41.8,4.959,5228.1
31809,42,blue-collar,married,basic.6y,no,yes,no,cellular,may,thu,219,1,999,0,-1.8,92.893,-46.2,1.327,5099.1
37954,72,retired,married,basic.4y,no,no,no,cellular,sep,fri,230,1,3,2,-3.4,92.379,-29.8,0.803,5017.5
5533,33,services,married,professional.course,no,no,no,telephone,may,mon,76,2,999,0,1.1,93.994,-36.4,4.857,5191.0
18361,30,admin.,single,high.school,no,no,no,cellular,jul,thu,160,4,999,0,1.4,93.918,-42.7,4.968,5228.1
39861,33,services,married,high.school,no,no,no,cellular,jun,mon,472,1,999,1,-1.7,94.055,-39.8,0.72,4991.6
34261,33,admin.,single,university.degree,no,no,no,cellular,may,thu,17,5,999,0,-1.8,92.893,-46.2,1.266,5099.1
22646,31,technician,divorced,high.school,no,no,no,cellular,aug,fri,129,3,999,0,1.4,93.444,-36.1,4.964,5228.1
373,22,blue-collar,single,basic.9y,no,yes,no,telephone,may,tue,195,1,999,0,1.1,93.994,-36.4,4.857,5191.0
12680,50,admin.,divorced,university.degree,no,no,no,cellular,jul,mon,371,2,999,0,1.4,93.918,-42.7,4.96,5228.1
15562,25,services,single,unknown,no,no,no,telephone,jul,fri,662,4,999,0,1.4,93.918,-42.7,4.957,5228.1
36339,35,services,married,high.school,no,yes,yes,cellular,jun,tue,126,1,999,1,-2.9,92.963,-40.8,1.262,5076.2
14493,40,blue-collar,married,unknown,no,no,no,cellular,jul,tue,117,3,999,0,1.4,93.918,-42.7,4.961,5228.1
3350,35,unemployed,married,basic.4y,unknown,unknown,unknown,telephone,may,thu,71,4,999,0,1.1,93.994,-36.4,4.86,5191.0
34950,41,blue-collar,single,basic.9y,no,no,no,cellular,may,fri,195,1,999,0,-1.8,92.893,-46.2,1.25,5099.1
15917,57,admin.,married,university.degree,no,yes,no,cellular,jul,mon,564,2,999,0,1.4,93.918,-42.7,4.96,5228.1
28549,30,management,single,university.degree,no,yes,no,cellular,apr,wed,692,1,999,0,-1.8,93.075,-47.1,1.415,5099.1
32465,30,services,divorced,high.school,no,unknown,unknown,cellular,may,fri,186,4,999,1,-1.8,92.893,-46.2,1.313,5099.1
40527,45,self-employed,divorced,professional.course,no,yes,no,telephone,aug,mon,5,1,999,1,-1.7,94.027,-38.3,0.891,4991.6
2734,37,admin.,married,university.degree,no,no,yes,telephone,may,wed,243,1,999,0,1.1,93.994,-36.4,4.859,5191.0
7846,38,blue-collar,married,basic.9y,unknown,no,no,telephone,jun,mon,464,1,999,0,1.4,94.465,-41.8,4.865,5228.1
33486,34,technician,married,professional.course,no,no,no,cellular,may,tue,278,2,999,0,-1.8,92.893,-46.2,1.291,5099.1
2753,33,services,single,basic.6y,unknown,yes,no,telephone,may,wed,230,1,999,0,1.1,93.994,-36.4,4.859,5191.0
15535,56,admin.,married,university.degree,no,no,no,cellular,jul,fri,139,5,999,0,1.4,93.918,-42.7,4.957,5228.1
4606,53,admin.,married,university.degree,no,no,yes,telephone,may,tue,37,13,999,0,1.1,93.994,-36.4,4.856,5191.0
15421,57,retired,single,university.degree,no,yes,no,cellular,jul,fri,75,1,999,0,1.4,93.918,-42.7,4.957,5228.1
37934,18,student,single,unknown,no,unknown,unknown,cellular,sep,thu,72,2,999,0,-3.4,92.379,-29.8,0.809,5017.5
9292,32,admin.,single,high.school,no,no,yes,telephone,jun,fri,180,2,999,0,1.4,94.465,-41.8,4.967,5228.1
11332,34,housemaid,single,university.degree,no,no,no,telephone,jun,thu,267,2,999,0,1.4,94.465,-41.8,4.961,5228.1
28846,40,management,married,basic.6y,no,yes,no,cellular,apr,thu,179,1,999,0,-1.8,93.075,-47.1,1.41,5099.1
21435,42,management,married,high.school,no,yes,no,cellular,aug,tue,671,1,999,0,1.4,93.444,-36.1,4.963,5228.1
16650,42,unknown,married,university.degree,no,no,yes,cellular,jul,wed,255,1,999,0,1.4,93.918,-42.7,4.963,5228.1
25281,37,management,single,university.degree,no,yes,no,cellular,nov,tue,242,2,999,1,-0.1,93.2,-42.0,4.153,5195.8
7404,48,blue-collar,married,basic.6y,no,yes,no,telephone,may,fri,290,5,999,0,1.1,93.994,-36.4,4.864,5191.0
33889,28,blue-collar,married,professional.course,unknown,yes,no,cellular,may,wed,573,7,999,1,-1.8,92.893,-46.2,1.281,5099.1
19710,44,self-employed,married,university.degree,no,no,no,cellular,aug,thu,107,3,999,0,1.4,93.444,-36.1,4.968,5228.1
19611,45,admin.,divorced,university.degree,no,no,yes,cellular,aug,thu,205,4,999,0,1.4,93.444,-36.1,4.968,5228.1
3387,27,blue-collar,married,basic.4y,unknown,no,no,telephone,may,thu,438,2,999,0,1.1,93.994,-36.4,4.86,5191.0
